"";"R235";"R236";"R239";"R241";"R242";"R245";"R247";"R248";"R250"
"ENSDARG00000033160";11,9187314085466;10,8999294883344;10,8313881219428;12,0924781127335;11,5645553116582;10,9080109796775;11,6767957038718;11,168115169517;10,4146321470777
"ENSDARG00000013522";12,390363907827;11,6926727623756;11,4391073044587;12,4409515848916;11,8413070469912;11,1188876521886;12,1359446293541;11,6348057265139;11,3363298150948
"ENSDARG00000103295";10,5469707045217;10,0041685128264;8,7535557970274;10,6590749537765;9,98023199765853;8,51123957015501;11,1171078565432;10,6905177998275;9,24082519216175
"ENSDARG00000056765";9,18105965854833;8,48891728686315;7,43164099757976;9,44011908364235;8,83081603886496;7,90133748131882;10,3987947192432;9,89954649396605;8,14280747032001
"ENSDARG00000087303";11,0744725032717;10,7651972558413;11,6822910114249;11,0101718659955;10,3806658118733;11,4872069702126;11,0538436829829;10,5261086104032;11,9624654322708
"ENSDARG00000018478";11,5156218409506;11,0007021449207;10,3828454859108;11,5978477789484;11,2189436826806;10,1853810129911;11,610426510645;11,2142797607056;10,6143380985501
"ENSDARG00000055133";9,00206521617897;9,47404298875364;9,27881058679758;8,92155894583034;9,22435232139272;9,24031057624722;8,95050098440282;9,31511360331807;9,18369031542066
"ENSDARG00000079166";10,2569173106745;10,0254055577345;9,54589987460407;10,5282764882031;10,0509132360021;9,51291414084578;10,8868173578272;10,4832828137759;9,95922575788601
"ENSDARG00000101629";11,0018406110062;10,5670890710915;9,64279323873165;11,0042558580239;10,6522694491683;9,42537579729694;11,4522283607354;11,1218106990947;10,0935177330405
"ENSDARG00000029230";9,44199016282864;8,84659751418649;7,28674631874346;9,23847016569284;8,91238425447899;7,34456709109499;9,47674404149397;9,06846881477983;7,2375247631672
"ENSDARG00000044566";10,0307824263578;9,56305659585128;9,09059329076147;10,1335105059991;9,78975190465471;9,08775019965378;10,1643166534522;9,89029506956981;9,26233142627209
"ENSDARG00000004060";12,0173267048416;11,5300025627199;11,831856773343;12,0948428874864;11,7432742090924;11,6355172202949;12,0374902204238;11,7837311305787;11,8109514173189
"ENSDARG00000078567";11,7636763080396;11,1894573468271;11,4434720079697;11,7417595471843;11,4867685816343;11,3761763710489;11,732911043889;11,4326607122845;11,2532364152377
